slug	slot	setting	scenario	cast	pitch
sweet-fermented-fava	most	station	buses-imagined	alone	grounded
sweet-fermented-fava	high	river	culvert-opened	group	elevated
sweet-fermented-fava	mid	swimming pool	quals-funded	group	grounded
sweet-fermented-fava	low	shelter	winter-filled	official	grounded
sweet-fermented-fava	least	zoo	cafe-voted	official	elevated
bitter-fried-kidney	most	rehearsal room	licence-refused	group	elevated
bitter-fried-kidney	high	football ground	selection-withheld	child	grounded
bitter-fried-kidney	mid	planetarium	script-refused	official	elevated
bitter-fried-kidney	low	pub	answer-allowed	group	grounded
bitter-fried-kidney	least	campsite	pitch-conceded	friend	grounded
bitter-roasted-cannellini	most	restaurant	booking-moved	official	elevated
bitter-roasted-cannellini	high	charity shop	donation-dressed	colleague	grounded
bitter-roasted-cannellini	mid	cemetery	lettering-chosen	family	elevated
bitter-roasted-cannellini	low	motorway services	detour-declined	friend	grounded
bitter-roasted-cannellini	least	beach	spread-unfussed	friend	grounded
sour-boiled-butter	most	churchyard	dying-described	friend	elevated
sour-boiled-butter	high	music lesson	ability-stated	stranger	grounded
sour-boiled-butter	mid	blood donor centre	screening-answered	official	elevated
sour-boiled-butter	low	cafe	verdict-sidestepped	friend	grounded
sour-boiled-butter	least	care home	husband-expected	neighbour	grounded
spicy-fermented-adzuki	most	radio	slot-spent	official	elevated
spicy-fermented-adzuki	high	record shop	record-expounded	friend	grounded
spicy-fermented-adzuki	mid	observatory	view-relayed	stranger	elevated
spicy-fermented-adzuki	low	reservoir	awe-understated	friend	grounded
spicy-fermented-adzuki	least	ferry	sighting-unmentioned	family	grounded
sweet-smoked-black	most	hospice	dream-obeyed	family	elevated
sweet-smoked-black	high	park	choice-divined	friend	grounded
sweet-smoked-black	mid	ghost walk	cold-noted	child	elevated
sweet-smoked-black	low	house	charm-shelved	family	grounded
sweet-smoked-black	least	taxi	clock-repaired	friend	grounded
bitter-smoked-chickpea	most	caravan	caravan-kept	family	grounded
bitter-smoked-chickpea	high	airport	application-unposted	alone	elevated
bitter-smoked-chickpea	mid	evening class	class-repeated	official	grounded
bitter-smoked-chickpea	low	animal sanctuary	morning-taken	official	elevated
bitter-smoked-chickpea	least	kitchen	room-surrendered	partner	grounded
bitter-boiled-cannellini	most	bike shop	deliberation-prolonged	stranger	grounded
bitter-boiled-cannellini	high	citizens advice	fund-allocated	group	elevated
bitter-boiled-cannellini	mid	dentist	treatment-weighed	official	grounded
bitter-boiled-cannellini	low	nuclear bunker	volunteering-snap	group	elevated
bitter-boiled-cannellini	least	betting shop	bet-placed	friend	grounded
sour-fried-kidney	most	waiting room	claim-pressed	stranger	grounded
sour-fried-kidney	high	council offices	paragraph-demanded	official	elevated
sour-fried-kidney	mid	canteen	rumour-tested	colleague	grounded
sour-fried-kidney	low	museum	date-unquestioned	official	elevated
sour-fried-kidney	least	party	story-unchallenged	friend	grounded
spicy-roasted-pinto	most	street	bucket-upstaged	friend	grounded
spicy-roasted-pinto	high	wedding	outfit-worn	friend	elevated
spicy-roasted-pinto	mid	holiday let	costumes-laid	group	grounded
spicy-roasted-pinto	low	magic show	volunteer-declined	stranger	elevated
spicy-roasted-pinto	least	cinema	birthday-unmarked	alone	grounded
sweet-dried-black	most	living room	rota-refused	friend	grounded
sweet-dried-black	high	church	song-remembered	family	elevated
sweet-dried-black	mid	bus	detail-retained	friend	grounded
sweet-dried-black	low	catacombs	acquaintance-closed	stranger	elevated
sweet-dried-black	least	loft	box-discarded	alone	grounded
bitter-fried-black	most	house	receipt-demanded	housemate	grounded
bitter-fried-black	high	animal shelter	history-probed	official	elevated
bitter-fried-black	mid	record shop	amp-tested	stranger	grounded
bitter-fried-black	low	post office	countersign-given	neighbour	grounded
bitter-fried-black	least	clairvoyant	name-volunteered	stranger	elevated
bitter-dried-navy	most	train	grudge-unmoved	family	grounded
bitter-dried-navy	high	tribunal	account-repeated	official	elevated
bitter-dried-navy	mid	video call	answer-unchanged	family	grounded
bitter-dried-navy	low	pub	curfew-slipped	friend	grounded
bitter-dried-navy	least	hedge maze	turns-reversed	group	elevated
sour-roasted-mung	most	sea	swim-interrupted	family	grounded
sour-roasted-mung	high	coach	departure-questioned	friend	elevated
sour-roasted-mung	mid	bus stop	sickness-pressed	colleague	grounded
sour-roasted-mung	low	cafe	opening-passed	family	grounded
sour-roasted-mung	least	hostel	step-left	stranger	elevated
spicy-smoked-butter	most	restaurant	order-unheard	group	grounded
spicy-smoked-butter	high	football ground	vote-undertoned	group	elevated
spicy-smoked-butter	mid	pharmacy counter	counter-lowered	official	grounded
spicy-smoked-butter	low	bowling alley	lane-shouted	friend	grounded
spicy-smoked-butter	least	radio	slot-amplified	official	elevated
sweet-fermented-chickpea	most	street	quarrel-inherited	friend	grounded
sweet-fermented-chickpea	high	vets	decision-voiced	friend	elevated
sweet-fermented-chickpea	mid	school	line-mouthed	child	grounded
sweet-fermented-chickpea	low	park	retelling-avoided	housemate	grounded
sweet-fermented-chickpea	least	hospice	round-continued	stranger	elevated
umami-fermented-black	most	bakery	motive-unsettled	friend	grounded
umami-fermented-black	high	swimming pool	reason-admitted	friend	grounded
umami-fermented-black	mid	anatomy museum	visit-explained	stranger	elevated
umami-fermented-black	low	food bank	reason-declined	official	grounded
umami-fermented-black	least	clinic	cause-refused	official	elevated
umami-dried-butter	most	doorstep	claim-abandoned	housemate	grounded
umami-dried-butter	high	high street	kit-lost	group	grounded
umami-dried-butter	mid	prison	jab-unreturned	family	elevated
umami-dried-butter	low	chemist	trainee-snapped	official	grounded
umami-dried-butter	least	mine tour	interruption-snapped	stranger	elevated
sour-smoked-kidney	most	station	prophecy-delivered	family	grounded
sour-smoked-kidney	high	forest	partner-named	friend	grounded
sour-smoked-kidney	mid	tattoo studio	name-questioned	friend	elevated
sour-smoked-kidney	low	running track	trials-softened	child	grounded
sour-smoked-kidney	least	respite home	sale-withheld	family	elevated
spicy-roasted-cannellini	most	warehouse	saturdays-asked	group	grounded
spicy-roasted-cannellini	high	hospital	withdrawal-reversed	friend	grounded
spicy-roasted-cannellini	mid	auction house	bidding-revived	group	elevated
spicy-roasted-cannellini	low	phone	pitch-declined	friend	grounded
spicy-roasted-cannellini	least	youth club	notice-pinned	child	elevated
sweet-fried-mung	most	petrol station	tank-paid	stranger	grounded
sweet-fried-mung	high	takeaway	days-given	friend	grounded
sweet-fried-mung	mid	graduation	ticket-surrendered	friend	elevated
sweet-fried-mung	low	stairwell	sale-held	neighbour	grounded
sweet-fried-mung	least	farm	tally-kept	group	elevated
umami-fried-green	most	sports club	record-cited	group	elevated
umami-fried-green	high	passport office	letter-read	stranger	grounded
umami-fried-green	mid	careers fair	figures-given	child	grounded
umami-fried-green	low	dojo	belt-taken	official	elevated
umami-fried-green	least	barbecue	assessment-skipped	friend	grounded
umami-dried-mung	most	court	surety-offered	family	elevated
umami-dried-mung	high	orchard	row-started	friend	grounded
umami-dried-mung	mid	market	stall-covered	stranger	grounded
umami-dried-mung	low	float tank	overrun-taken	official	elevated
umami-dried-mung	least	car	evening-taken	friend	grounded
sour-fermented-kidney	most	site office	signature-withheld	colleague	elevated
sour-fermented-kidney	high	funeral	flat-cleared	family	grounded
sour-fermented-kidney	mid	climbing wall	descent-advised	friend	grounded
sour-fermented-kidney	low	seance	loss-denied	stranger	elevated
sour-fermented-kidney	least	lido	warning-unheeded	friend	grounded
spicy-smoked-cannellini	most	hotel	photograph-included	friend	elevated
spicy-smoked-cannellini	high	underpass	word-painted	group	grounded
spicy-smoked-cannellini	mid	lift	count-posted	neighbour	grounded
spicy-smoked-cannellini	low	show cave	darkness-described	official	elevated
spicy-smoked-cannellini	least	gallery	piece-swapped	group	grounded
sweet-boiled-edamame	most	library	rota-confirmed	official	elevated
sweet-boiled-edamame	high	supermarket	order-rebuilt	group	grounded
sweet-boiled-edamame	mid	stairwell	morning-held	housemate	grounded
sweet-boiled-edamame	low	aquarium	evening-dropped	friend	elevated
sweet-boiled-edamame	least	food stall	morning-cancelled	friend	grounded
bitter-fried-green	most	allotment	frost-ignored	alone	elevated
bitter-fried-green	high	bike shop	trade-taken	stranger	grounded
bitter-fried-green	mid	blood donor centre	donation-abandoned	official	elevated
bitter-fried-green	low	living room	leave-doubled	official	grounded
bitter-fried-green	least	driving lesson	stall-repeated	family	grounded
bitter-boiled-chickpea	most	solicitors	share-surrendered	family	elevated
bitter-boiled-chickpea	high	rehearsal room	pair-reconciled	group	grounded
bitter-boiled-chickpea	mid	polling station	pitch-allocated	official	elevated
bitter-boiled-chickpea	low	canteen	joke-challenged	colleague	grounded
bitter-boiled-chickpea	least	snooker hall	mediation-refused	friend	grounded
sour-fermented-mung	most	garden	symptom-overruled	family	elevated
sour-fermented-mung	high	doctors	list-compiled	family	grounded
sour-fermented-mung	mid	theatre	cue-queried	official	elevated
sour-fermented-mung	low	laundrette	tiredness-accepted	friend	grounded
sour-fermented-mung	least	garden centre	cancellation-rebooked	friend	grounded
spicy-roasted-butter	most	holiday let	flight-forfeited	friend	elevated
spicy-roasted-butter	high	concert hall	seats-upgraded	alone	grounded
spicy-roasted-butter	mid	hot air balloon	ascent-extended	group	elevated
spicy-roasted-butter	low	station	night-declined	group	grounded
spicy-roasted-butter	least	christening	toast-watered	family	grounded
sweet-smoked-kidney	most	beach	post-refused	official	elevated
sweet-smoked-kidney	high	ice rink	barrier-shared	partner	grounded
sweet-smoked-kidney	mid	factory	companion-watched	partner	elevated
sweet-smoked-kidney	low	hills	faults-listed	friend	grounded
sweet-smoked-kidney	least	campsite	time-corrected	group	grounded
umami-fried-edamame	most	professional kitchen	prove-requested	stranger	grounded
umami-fried-edamame	high	mine tour	descent-extended	official	elevated
umami-fried-edamame	mid	swimming pool	stroke-corrected	stranger	grounded
umami-fried-edamame	low	animal sanctuary	barn-declined	friend	elevated
umami-fried-edamame	least	bus	place-refused	friend	grounded
umami-dried-kidney	most	police station	vouch-given	official	grounded
umami-dried-kidney	high	loading bay	gate-held	group	elevated
umami-dried-kidney	mid	pub	absent-defended	friend	grounded
umami-dried-kidney	low	ghost walk	trick-disclosed	stranger	elevated
umami-dried-kidney	least	wedding	partnership-dropped	stranger	grounded
sour-boiled-green	most	restaurant	closure-announced	group	grounded
sour-boiled-green	high	church	eulogy-corrected	family	elevated
sour-boiled-green	mid	building site	crack-raised	stranger	grounded
sour-boiled-green	low	taxidermist	licence-withheld	group	elevated
sour-boiled-green	least	train	journey-unspoken	friend	grounded
sweet-roasted-cannellini	most	airbnb	place-laid	stranger	grounded
sweet-roasted-cannellini	high	ferry	crossing-adopted	group	elevated
sweet-roasted-cannellini	mid	warehouse	custom-explained	colleague	grounded
sweet-roasted-cannellini	low	care home	chair-avoided	stranger	elevated
sweet-roasted-cannellini	least	intercom	buzzer-refused	friend	grounded
umami-boiled-adzuki	most	pier	reciprocation-demanded	friend	grounded
umami-boiled-adzuki	high	house	childhood-named	family	grounded
umami-boiled-adzuki	mid	radio	fondness-broadcast	friend	elevated
umami-boiled-adzuki	low	gym	embrace-declined	colleague	grounded
umami-boiled-adzuki	least	observatory	endearment-unanswered	partner	elevated
umami-fermented-butter	most	letter	reply-unsent	family	grounded
umami-fermented-butter	high	cafe	sponsorship-weighed	group	grounded
umami-fermented-butter	mid	camera obscura	turn-awaited	friend	elevated
umami-fermented-butter	low	post office	insurance-declined	official	grounded
umami-fermented-butter	least	seance	name-supplied	stranger	elevated
sour-fried-chickpea	most	cinema	shift-relayed	friend	grounded
sour-fried-chickpea	high	gig	kit-borrowed	friend	grounded
sour-fried-chickpea	mid	registry office	witness-recruited	official	elevated
sour-fried-chickpea	low	bakery	channel-followed	colleague	grounded
sour-fried-chickpea	least	anatomy museum	order-insisted	official	elevated
spicy-dried-cannellini	most	hardware shop	measurement-defended	friend	grounded
spicy-dried-cannellini	high	loft	photograph-identified	family	grounded
spicy-dried-cannellini	mid	tattoo studio	date-supplied	friend	elevated
spicy-dried-cannellini	low	taxi	route-switched	partner	grounded
spicy-dried-cannellini	least	auction house	lot-swapped	family	elevated
sweet-roasted-mung	most	kitchen	call-taken	family	grounded
sweet-roasted-mung	high	hotel	route-walked	friend	grounded
sweet-roasted-mung	mid	drop-in centre	tea-delivered	stranger	elevated
sweet-roasted-mung	low	forest	tape-handed	friend	grounded
sweet-roasted-mung	least	lido	hut-indicated	group	elevated
