# TRAIT NEIGHBOURS — the lookup for FACETS.md step 1, and the de-duplication map.
#
# Why this file exists. The near-neighbour collision is the most expensive failure in
# step 4: a scene gets built, then thrown away because it belongs to a trait somebody
# already wrote. It cannot be computed from the axes — hard-line (kidney/bitter/fried)
# and firm (navy/sour/dried) share no bean, no flavour and no form, and mystical sits
# next to otherworldly across a single shared form.
#
# GENERATED — do not hand-edit. The judgement lives in trait-families.tsv, which sorts
# all 360 traits into senses a reader could confuse; this file expands that map, so your
# neighbours are the other members of every family you are in. To change an adjacency,
# move the trait between families and re-run:
#
#   node scripts/build-trait-neighbours.mjs
#
# How to use it. At step 1, look your five up here and READ the entries listed, then
# write the separation prose into the batch file — what each neighbour owns, and what is
# left for yours. This file names the pairs; it does not do the thinking, and it is not a
# substitute for reading beans/, flavours/ and forms/.
#
# Marks:
#   trait(slug)    approved — its scenes are SPENT, go and read them
#   ~trait(slug)   not yet approved — no settled scenes to avoid, but the axes must part
#
# A trait in two families carries both families' members as neighbours; the families
# column names which. 46 families over 360 traits, 18 traits straddling two.
#
# slug	trait	excess	inverse	families	neighbours
spicy-boiled-mung	tireless	unresting	flagging	endurance	gritty(spicy-boiled-black) stoic(spicy-boiled-butter) tough(spicy-dried-navy) ~dogged(spicy-boiled-kidney) ~forbearing(bitter-boiled-kidney) ~hardy(bitter-dried-kidney) ~indomitable(sweet-dried-fava) ~relentless(spicy-fried-black) ~steely(bitter-dried-fava) ~tested(sour-fermented-kidney)
spicy-boiled-navy	rigid	obstinate	yielding	immovable	single-minded(spicy-fermented-navy) steadfast(spicy-smoked-navy) ~adamant(spicy-boiled-fava) ~firm(sour-dried-navy) ~resolute(sour-smoked-navy) ~resolved(umami-boiled-fava) ~stalwart(umami-fried-kidney) ~staunch(spicy-roasted-navy) ~steady(bitter-dried-navy)
spicy-boiled-pinto	brimming	overflowing	empty	drive	absorbed(spicy-fermented-mung) focused(umami-fried-black) ~avid(spicy-dried-adzuki) ~driven(spicy-fried-cannellini) ~electric(spicy-dried-green) ~frenetic(spicy-smoked-chickpea) ~keen(umami-fried-edamame) ~kinetic(spicy-fried-pinto) ~urgent(spicy-fried-mung)
spicy-dried-adzuki	avid	insatiable	sated	drive	absorbed(spicy-fermented-mung) focused(umami-fried-black) ~brimming(spicy-boiled-pinto) ~driven(spicy-fried-cannellini) ~electric(spicy-dried-green) ~frenetic(spicy-smoked-chickpea) ~keen(umami-fried-edamame) ~kinetic(spicy-fried-pinto) ~urgent(spicy-fried-mung)
spicy-dried-black	contained	bottled	spilling	coiled	~primed(spicy-dried-kidney) ~taut(spicy-dried-butter)
spicy-dried-butter	taut	brittle	slack	coiled	~contained(spicy-dried-black) ~primed(spicy-dried-kidney)
spicy-dried-cannellini	sure	infallible	erratic	authority	commanding(spicy-fried-navy) decisive(bitter-fried-edamame) regal(umami-smoked-cannellini) ~assured(umami-fried-fava) ~authoritative(umami-fried-navy) ~confident(spicy-roasted-edamame) ~distinguished(umami-dried-cannellini) ~formidable(umami-dried-fava) ~proud(bitter-roasted-kidney)
spicy-dried-chickpea	conductive	incendiary	insulating	adaptable	adaptable(umami-boiled-chickpea) proactive(umami-fried-chickpea) ~cosmopolitan(bitter-roasted-chickpea) ~instinctive(umami-fried-pinto) ~nimble(sour-fried-chickpea) ~practised(sweet-fermented-edamame) ~resourceful(spicy-boiled-chickpea)
spicy-dried-edamame	mordant	venomous	toothless	acid	acerbic(sour-dried-fava) fierce(sour-dried-kidney) ~astringent(sour-dried-mung) ~bracing(sour-dried-green) ~flinty(sour-dried-black) ~piquant(spicy-dried-mung) ~pungent(sour-smoked-green) ~searing(sour-smoked-kidney) ~tart(sour-dried-adzuki)
spicy-dried-fava	audacious	outrageous	cowed	risk	daring(sweet-fried-fava) game(spicy-fried-butter) headlong(spicy-fried-fava) headstrong(spicy-fried-green) ~brisk(bitter-roasted-green) ~dauntless(bitter-boiled-fava) ~footloose(spicy-smoked-green) ~impatient(bitter-fried-green) ~impulsive(sour-fried-green) ~spontaneous(spicy-fried-chickpea) ~swift(sour-fried-fava)
spicy-dried-green	electric	jangling	flat	drive	absorbed(spicy-fermented-mung) focused(umami-fried-black) ~avid(spicy-dried-adzuki) ~brimming(spicy-boiled-pinto) ~driven(spicy-fried-cannellini) ~frenetic(spicy-smoked-chickpea) ~keen(umami-fried-edamame) ~kinetic(spicy-fried-pinto) ~urgent(spicy-fried-mung)
spicy-dried-kidney	primed	volatile	unready	coiled	~contained(spicy-dried-black) ~taut(spicy-dried-butter)
spicy-dried-mung	piquant	overpowering	insipid	acid	acerbic(sour-dried-fava) fierce(sour-dried-kidney) ~astringent(sour-dried-mung) ~bracing(sour-dried-green) ~flinty(sour-dried-black) ~mordant(spicy-dried-edamame) ~pungent(sour-smoked-green) ~searing(sour-smoked-kidney) ~tart(sour-dried-adzuki)
spicy-dried-navy	tough	closed-off	skittish	endurance	gritty(spicy-boiled-black) stoic(spicy-boiled-butter) ~dogged(spicy-boiled-kidney) ~forbearing(bitter-boiled-kidney) ~hardy(bitter-dried-kidney) ~indomitable(sweet-dried-fava) ~relentless(spicy-fried-black) ~steely(bitter-dried-fava) ~tested(sour-fermented-kidney) ~tireless(spicy-boiled-mung)
spicy-dried-pinto	hot-blooded	unhinged	tempered	heat	intense(spicy-fermented-kidney) ~consuming(spicy-smoked-kidney) ~emotive(spicy-roasted-kidney) ~feisty(spicy-smoked-edamame) ~ferocious(spicy-fried-kidney) ~smouldering(spicy-smoked-black) ~wild(spicy-smoked-fava) ~zealous(spicy-boiled-green)
spicy-fermented-adzuki	rhapsodic	delirious	matter-of-fact	joy	giddy(sweet-fried-green) irrepressible(spicy-fried-adzuki) jubilant(sweet-fried-adzuki) ~buoyant(sweet-roasted-green) ~ebullient(sour-roasted-green) ~exultant(spicy-roasted-adzuki) ~high-spirited(spicy-roasted-green) ~joyful(sweet-boiled-adzuki) ~spirited(spicy-boiled-adzuki)
spicy-fermented-black	mysterious	unfathomable	self-evident	uncanny	eerie(bitter-smoked-green) haunting(bitter-smoked-kidney) ~atmospheric(umami-smoked-pinto) ~ethereal(bitter-smoked-mung) ~hallowed(umami-smoked-adzuki) ~liminal(bitter-smoked-chickpea) ~mystical(sweet-smoked-black) ~oracular(bitter-smoked-adzuki) ~otherworldly(bitter-smoked-fava) ~primal(umami-smoked-fava) ~solemn(umami-smoked-black)
spicy-fermented-butter	eccentric	bizarre	orthodox	odd	offbeat(spicy-fermented-chickpea) ~maverick(spicy-fermented-green) ~mercurial(spicy-fermented-pinto) ~quirky(sour-fermented-green) ~singular(spicy-fermented-cannellini)
spicy-fermented-cannellini	singular	idiosyncratic	derivative	odd	offbeat(spicy-fermented-chickpea) ~eccentric(spicy-fermented-butter) ~maverick(spicy-fermented-green) ~mercurial(spicy-fermented-pinto) ~quirky(sour-fermented-green)
spicy-fermented-chickpea	offbeat	outlandish	staid	odd	~eccentric(spicy-fermented-butter) ~maverick(spicy-fermented-green) ~mercurial(spicy-fermented-pinto) ~quirky(sour-fermented-green) ~singular(spicy-fermented-cannellini)
spicy-fermented-edamame	inventive	baroque	imitative	invention	artistic(bitter-fermented-pinto) innovative(umami-fermented-chickpea) ~budding(umami-smoked-green) ~creative(umami-fermented-green) ~idealistic(umami-fermented-cannellini) ~prolific(umami-boiled-green) ~visionary(sweet-fermented-fava)
spicy-fermented-fava	subversive	seditious	compliant	opposition	rebellious(umami-fermented-fava) ~challenging(sour-fried-kidney) ~contrarian(sour-fermented-fava) ~defiant(umami-roasted-fava) ~hard-line(bitter-fried-kidney) ~indignant(sour-roasted-navy) ~maverick(spicy-fermented-green) ~righteous(sour-boiled-fava) ~shameless(bitter-roasted-fava)
spicy-fermented-green	maverick	anarchic	conforming	opposition+odd	offbeat(spicy-fermented-chickpea) rebellious(umami-fermented-fava) ~challenging(sour-fried-kidney) ~contrarian(sour-fermented-fava) ~defiant(umami-roasted-fava) ~eccentric(spicy-fermented-butter) ~hard-line(bitter-fried-kidney) ~indignant(sour-roasted-navy) ~mercurial(spicy-fermented-pinto) ~quirky(sour-fermented-green) ~righteous(sour-boiled-fava) ~shameless(bitter-roasted-fava) ~singular(spicy-fermented-cannellini) ~subversive(spicy-fermented-fava)
spicy-fermented-kidney	intense	overwhelming	lukewarm	heat	~consuming(spicy-smoked-kidney) ~emotive(spicy-roasted-kidney) ~feisty(spicy-smoked-edamame) ~ferocious(spicy-fried-kidney) ~hot-blooded(spicy-dried-pinto) ~smouldering(spicy-smoked-black) ~wild(spicy-smoked-fava) ~zealous(spicy-boiled-green)
spicy-fermented-mung	absorbed	engulfed	distracted	drive	focused(umami-fried-black) ~avid(spicy-dried-adzuki) ~brimming(spicy-boiled-pinto) ~driven(spicy-fried-cannellini) ~electric(spicy-dried-green) ~frenetic(spicy-smoked-chickpea) ~keen(umami-fried-edamame) ~kinetic(spicy-fried-pinto) ~urgent(spicy-fried-mung)
spicy-fermented-navy	single-minded	narrow-minded	scattered	immovable	rigid(spicy-boiled-navy) steadfast(spicy-smoked-navy) ~adamant(spicy-boiled-fava) ~firm(sour-dried-navy) ~resolute(sour-smoked-navy) ~resolved(umami-boiled-fava) ~stalwart(umami-fried-kidney) ~staunch(spicy-roasted-navy) ~steady(bitter-dried-navy)
spicy-fermented-pinto	mercurial	capricious	stolid	odd	offbeat(spicy-fermented-chickpea) ~eccentric(spicy-fermented-butter) ~maverick(spicy-fermented-green) ~quirky(sour-fermented-green) ~singular(spicy-fermented-cannellini)
spicy-fried-adzuki	irrepressible	uncontrollable	quelled	joy	giddy(sweet-fried-green) jubilant(sweet-fried-adzuki) ~buoyant(sweet-roasted-green) ~ebullient(sour-roasted-green) ~exultant(spicy-roasted-adzuki) ~high-spirited(spicy-roasted-green) ~joyful(sweet-boiled-adzuki) ~rhapsodic(spicy-fermented-adzuki) ~spirited(spicy-boiled-adzuki)
spicy-fried-black	relentless	remorseless	relenting	endurance	gritty(spicy-boiled-black) stoic(spicy-boiled-butter) tough(spicy-dried-navy) ~dogged(spicy-boiled-kidney) ~forbearing(bitter-boiled-kidney) ~hardy(bitter-dried-kidney) ~indomitable(sweet-dried-fava) ~steely(bitter-dried-fava) ~tested(sour-fermented-kidney) ~tireless(spicy-boiled-mung)
spicy-fried-butter	game	gung-ho	reluctant	risk	daring(sweet-fried-fava) headlong(spicy-fried-fava) headstrong(spicy-fried-green) ~audacious(spicy-dried-fava) ~brisk(bitter-roasted-green) ~dauntless(bitter-boiled-fava) ~footloose(spicy-smoked-green) ~impatient(bitter-fried-green) ~impulsive(sour-fried-green) ~spontaneous(spicy-fried-chickpea) ~swift(sour-fried-fava)
spicy-fried-cannellini	driven	consumed	aimless	drive	absorbed(spicy-fermented-mung) focused(umami-fried-black) ~avid(spicy-dried-adzuki) ~brimming(spicy-boiled-pinto) ~electric(spicy-dried-green) ~frenetic(spicy-smoked-chickpea) ~keen(umami-fried-edamame) ~kinetic(spicy-fried-pinto) ~urgent(spicy-fried-mung)
spicy-fried-chickpea	spontaneous	scattershot	premeditated	risk	daring(sweet-fried-fava) game(spicy-fried-butter) headlong(spicy-fried-fava) headstrong(spicy-fried-green) ~audacious(spicy-dried-fava) ~brisk(bitter-roasted-green) ~dauntless(bitter-boiled-fava) ~footloose(spicy-smoked-green) ~impatient(bitter-fried-green) ~impulsive(sour-fried-green) ~swift(sour-fried-fava)
spicy-fried-edamame	emphatic	strident	hedging	plain-speech	straightforward(sweet-dried-edamame) ~blunt(sour-fried-edamame) ~candid(sour-boiled-pinto) ~forthright(sour-roasted-edamame) ~frank(sour-roasted-cannellini) ~honest(sour-boiled-butter) ~incisive(bitter-fried-navy) ~literal-minded(sour-boiled-navy) ~outspoken(sour-boiled-green) ~pointed(sour-dried-edamame)
spicy-fried-fava	headlong	breakneck	hesitant	risk	daring(sweet-fried-fava) game(spicy-fried-butter) headstrong(spicy-fried-green) ~audacious(spicy-dried-fava) ~brisk(bitter-roasted-green) ~dauntless(bitter-boiled-fava) ~footloose(spicy-smoked-green) ~impatient(bitter-fried-green) ~impulsive(sour-fried-green) ~spontaneous(spicy-fried-chickpea) ~swift(sour-fried-fava)
spicy-fried-green	headstrong	wilful	biddable	risk	daring(sweet-fried-fava) game(spicy-fried-butter) headlong(spicy-fried-fava) ~audacious(spicy-dried-fava) ~brisk(bitter-roasted-green) ~dauntless(bitter-boiled-fava) ~footloose(spicy-smoked-green) ~impatient(bitter-fried-green) ~impulsive(sour-fried-green) ~spontaneous(spicy-fried-chickpea) ~swift(sour-fried-fava)
spicy-fried-kidney	ferocious	rabid	tame	heat	intense(spicy-fermented-kidney) ~consuming(spicy-smoked-kidney) ~emotive(spicy-roasted-kidney) ~feisty(spicy-smoked-edamame) ~hot-blooded(spicy-dried-pinto) ~smouldering(spicy-smoked-black) ~wild(spicy-smoked-fava) ~zealous(spicy-boiled-green)
spicy-fried-mung	urgent	frantic	leisurely	drive	absorbed(spicy-fermented-mung) focused(umami-fried-black) ~avid(spicy-dried-adzuki) ~brimming(spicy-boiled-pinto) ~driven(spicy-fried-cannellini) ~electric(spicy-dried-green) ~frenetic(spicy-smoked-chickpea) ~keen(umami-fried-edamame) ~kinetic(spicy-fried-pinto)
spicy-fried-navy	commanding	domineering	unassertive	authority	decisive(bitter-fried-edamame) regal(umami-smoked-cannellini) ~assured(umami-fried-fava) ~authoritative(umami-fried-navy) ~confident(spicy-roasted-edamame) ~distinguished(umami-dried-cannellini) ~formidable(umami-dried-fava) ~proud(bitter-roasted-kidney) ~sure(spicy-dried-cannellini)
spicy-fried-pinto	kinetic	frenzied	static	drive	absorbed(spicy-fermented-mung) focused(umami-fried-black) ~avid(spicy-dried-adzuki) ~brimming(spicy-boiled-pinto) ~driven(spicy-fried-cannellini) ~electric(spicy-dried-green) ~frenetic(spicy-smoked-chickpea) ~keen(umami-fried-edamame) ~urgent(spicy-fried-mung)
spicy-roasted-adzuki	exultant	triumphalist	joyless	joy	giddy(sweet-fried-green) irrepressible(spicy-fried-adzuki) jubilant(sweet-fried-adzuki) ~buoyant(sweet-roasted-green) ~ebullient(sour-roasted-green) ~high-spirited(spicy-roasted-green) ~joyful(sweet-boiled-adzuki) ~rhapsodic(spicy-fermented-adzuki) ~spirited(spicy-boiled-adzuki)
spicy-roasted-black	magnetic	mesmerising	repellent	captivating	luminous(sweet-smoked-adzuki) spellbinding(spicy-smoked-pinto) ~arresting(spicy-smoked-cannellini) ~bewitching(spicy-smoked-mung) ~charismatic(spicy-roasted-cannellini) ~dazzling(sweet-smoked-fava) ~iridescent(sweet-smoked-green) ~transfixing(spicy-smoked-adzuki)
spicy-roasted-butter	indulgent	dissolute	puritanical	appetite	~lavish(sweet-fried-cannellini) ~openhanded(sweet-fried-mung) ~sensuous(spicy-smoked-butter)
spicy-roasted-cannellini	charismatic	messianic	colourless	captivating	luminous(sweet-smoked-adzuki) spellbinding(spicy-smoked-pinto) ~arresting(spicy-smoked-cannellini) ~bewitching(spicy-smoked-mung) ~dazzling(sweet-smoked-fava) ~iridescent(sweet-smoked-green) ~magnetic(spicy-roasted-black) ~transfixing(spicy-smoked-adzuki)
spicy-roasted-chickpea	gregarious	overbearing	withdrawn	showy	demonstrative(spicy-roasted-mung) expansive(umami-roasted-pinto) ~effusive(sweet-fried-pinto) ~flamboyant(spicy-roasted-pinto) ~lavish(sweet-fried-cannellini)
spicy-roasted-edamame	confident	cocksure	diffident	authority	commanding(spicy-fried-navy) decisive(bitter-fried-edamame) regal(umami-smoked-cannellini) ~assured(umami-fried-fava) ~authoritative(umami-fried-navy) ~distinguished(umami-dried-cannellini) ~formidable(umami-dried-fava) ~proud(bitter-roasted-kidney) ~sure(spicy-dried-cannellini)
spicy-roasted-fava	competitive	cutthroat	collaborative	ambition	~accomplished(umami-fried-green) ~ambitious(bitter-fried-fava) ~dedicated(umami-boiled-edamame) ~industrious(spicy-boiled-edamame) ~motivated(sweet-fried-edamame) ~purposeful(umami-fried-mung)
spicy-roasted-green	high-spirited	boisterous	dispirited	joy	giddy(sweet-fried-green) irrepressible(spicy-fried-adzuki) jubilant(sweet-fried-adzuki) ~buoyant(sweet-roasted-green) ~ebullient(sour-roasted-green) ~exultant(spicy-roasted-adzuki) ~joyful(sweet-boiled-adzuki) ~rhapsodic(spicy-fermented-adzuki) ~spirited(spicy-boiled-adzuki)
spicy-roasted-kidney	emotive	melodramatic	unexpressive	heat	intense(spicy-fermented-kidney) ~consuming(spicy-smoked-kidney) ~feisty(spicy-smoked-edamame) ~ferocious(spicy-fried-kidney) ~hot-blooded(spicy-dried-pinto) ~smouldering(spicy-smoked-black) ~wild(spicy-smoked-fava) ~zealous(spicy-boiled-green)
spicy-roasted-mung	demonstrative	gushing	unemotional	showy	expansive(umami-roasted-pinto) ~effusive(sweet-fried-pinto) ~flamboyant(spicy-roasted-pinto) ~gregarious(spicy-roasted-chickpea) ~lavish(sweet-fried-cannellini)
spicy-roasted-navy	staunch	diehard	fickle	immovable	rigid(spicy-boiled-navy) single-minded(spicy-fermented-navy) steadfast(spicy-smoked-navy) ~adamant(spicy-boiled-fava) ~firm(sour-dried-navy) ~resolute(sour-smoked-navy) ~resolved(umami-boiled-fava) ~stalwart(umami-fried-kidney) ~steady(bitter-dried-navy)
spicy-roasted-pinto	flamboyant	garish	muted	showy	demonstrative(spicy-roasted-mung) expansive(umami-roasted-pinto) ~effusive(sweet-fried-pinto) ~gregarious(spicy-roasted-chickpea) ~lavish(sweet-fried-cannellini)
spicy-smoked-adzuki	transfixing	hypnotic	unremarkable	captivating	luminous(sweet-smoked-adzuki) spellbinding(spicy-smoked-pinto) ~arresting(spicy-smoked-cannellini) ~bewitching(spicy-smoked-mung) ~charismatic(spicy-roasted-cannellini) ~dazzling(sweet-smoked-fava) ~iridescent(sweet-smoked-green) ~magnetic(spicy-roasted-black)
spicy-smoked-black	smouldering	seething	extinguished	heat	intense(spicy-fermented-kidney) ~consuming(spicy-smoked-kidney) ~emotive(spicy-roasted-kidney) ~feisty(spicy-smoked-edamame) ~ferocious(spicy-fried-kidney) ~hot-blooded(spicy-dried-pinto) ~wild(spicy-smoked-fava) ~zealous(spicy-boiled-green)
spicy-smoked-butter	sensuous	voluptuary	numb	appetite	~indulgent(spicy-roasted-butter) ~lavish(sweet-fried-cannellini) ~openhanded(sweet-fried-mung)
spicy-smoked-cannellini	arresting	confronting	unnoticeable	captivating	luminous(sweet-smoked-adzuki) spellbinding(spicy-smoked-pinto) ~bewitching(spicy-smoked-mung) ~charismatic(spicy-roasted-cannellini) ~dazzling(sweet-smoked-fava) ~iridescent(sweet-smoked-green) ~magnetic(spicy-roasted-black) ~transfixing(spicy-smoked-adzuki)
spicy-smoked-chickpea	frenetic	frazzled	unhurried	drive	absorbed(spicy-fermented-mung) focused(umami-fried-black) ~avid(spicy-dried-adzuki) ~brimming(spicy-boiled-pinto) ~driven(spicy-fried-cannellini) ~electric(spicy-dried-green) ~keen(umami-fried-edamame) ~kinetic(spicy-fried-pinto) ~urgent(spicy-fried-mung)
spicy-smoked-edamame	feisty	scrappy	docile	heat	intense(spicy-fermented-kidney) ~consuming(spicy-smoked-kidney) ~emotive(spicy-roasted-kidney) ~ferocious(spicy-fried-kidney) ~hot-blooded(spicy-dried-pinto) ~smouldering(spicy-smoked-black) ~wild(spicy-smoked-fava) ~zealous(spicy-boiled-green)
spicy-smoked-fava	wild	riotous	checked	heat	intense(spicy-fermented-kidney) ~consuming(spicy-smoked-kidney) ~emotive(spicy-roasted-kidney) ~feisty(spicy-smoked-edamame) ~ferocious(spicy-fried-kidney) ~hot-blooded(spicy-dried-pinto) ~smouldering(spicy-smoked-black) ~zealous(spicy-boiled-green)
spicy-smoked-green	footloose	adrift	anchored	risk	daring(sweet-fried-fava) game(spicy-fried-butter) headlong(spicy-fried-fava) headstrong(spicy-fried-green) ~audacious(spicy-dried-fava) ~brisk(bitter-roasted-green) ~dauntless(bitter-boiled-fava) ~impatient(bitter-fried-green) ~impulsive(sour-fried-green) ~spontaneous(spicy-fried-chickpea) ~swift(sour-fried-fava)
spicy-smoked-kidney	consuming	devouring	casual	heat	intense(spicy-fermented-kidney) ~emotive(spicy-roasted-kidney) ~feisty(spicy-smoked-edamame) ~ferocious(spicy-fried-kidney) ~hot-blooded(spicy-dried-pinto) ~smouldering(spicy-smoked-black) ~wild(spicy-smoked-fava) ~zealous(spicy-boiled-green)
spicy-smoked-mung	bewitching	ensnaring	charmless	captivating	luminous(sweet-smoked-adzuki) spellbinding(spicy-smoked-pinto) ~arresting(spicy-smoked-cannellini) ~charismatic(spicy-roasted-cannellini) ~dazzling(sweet-smoked-fava) ~iridescent(sweet-smoked-green) ~magnetic(spicy-roasted-black) ~transfixing(spicy-smoked-adzuki)
spicy-smoked-navy	steadfast	entrenched	wishy-washy	immovable	rigid(spicy-boiled-navy) single-minded(spicy-fermented-navy) ~adamant(spicy-boiled-fava) ~firm(sour-dried-navy) ~resolute(sour-smoked-navy) ~resolved(umami-boiled-fava) ~stalwart(umami-fried-kidney) ~staunch(spicy-roasted-navy) ~steady(bitter-dried-navy)
spicy-smoked-pinto	spellbinding	bewildering	unvarnished	captivating	luminous(sweet-smoked-adzuki) ~arresting(spicy-smoked-cannellini) ~bewitching(spicy-smoked-mung) ~charismatic(spicy-roasted-cannellini) ~dazzling(sweet-smoked-fava) ~iridescent(sweet-smoked-green) ~magnetic(spicy-roasted-black) ~transfixing(spicy-smoked-adzuki)
sweet-boiled-adzuki	joyful	euphoric	cheerless	joy	giddy(sweet-fried-green) irrepressible(spicy-fried-adzuki) jubilant(sweet-fried-adzuki) ~buoyant(sweet-roasted-green) ~ebullient(sour-roasted-green) ~exultant(spicy-roasted-adzuki) ~high-spirited(spicy-roasted-green) ~rhapsodic(spicy-fermented-adzuki) ~spirited(spicy-boiled-adzuki)
sweet-boiled-black	constant	unchanging	fitful	lasting	enduring(umami-dried-navy) ~abiding(sweet-dried-black) ~faithful(umami-dried-kidney) ~lingering(sweet-smoked-navy) ~rooted(umami-fermented-kidney) ~timeless(umami-smoked-navy)
sweet-boiled-butter	forgiving	excusing	unappeasable	smoothing	disarming(sweet-smoked-edamame) tolerant(umami-roasted-chickpea) ~conciliatory(bitter-boiled-chickpea) ~diplomatic(sweet-fermented-cannellini) ~fair(sour-roasted-kidney) ~fair-minded(sour-boiled-chickpea) ~impartial(sour-boiled-mung) ~open-minded(sour-roasted-chickpea) ~receptive(umami-roasted-butter)
sweet-boiled-cannellini	kind	permissive	unkind	warmth	agreeable(sweet-boiled-chickpea) neighbourly(sweet-roasted-navy) warm(umami-roasted-adzuki) ~affectionate(umami-boiled-adzuki) ~charming(sweet-smoked-chickpea) ~convivial(sweet-roasted-adzuki) ~gracious(sweet-roasted-black) ~openhearted(umami-roasted-kidney) ~welcoming(sweet-roasted-cannellini)
sweet-boiled-chickpea	agreeable	obsequious	disagreeable	warmth	neighbourly(sweet-roasted-navy) warm(umami-roasted-adzuki) ~affectionate(umami-boiled-adzuki) ~charming(sweet-smoked-chickpea) ~convivial(sweet-roasted-adzuki) ~gracious(sweet-roasted-black) ~kind(sweet-boiled-cannellini) ~openhearted(umami-roasted-kidney) ~welcoming(sweet-roasted-cannellini)
sweet-boiled-edamame	dependable	predictable	unreliable	duty	dutiful(sweet-dried-navy) ~conscientious(umami-boiled-cannellini) ~custodial(umami-boiled-navy) ~disciplined(umami-boiled-kidney) ~principled(umami-fried-cannellini) ~provident(sweet-boiled-navy) ~scrupulous(sour-fermented-navy) ~trustworthy(sour-boiled-kidney) ~upright(bitter-boiled-navy)
sweet-boiled-fava	encouraging	pushy	discouraging	encouraging	~emboldening(sweet-roasted-fava)
sweet-boiled-green	playful	frivolous	grave	light-hearted	lighthearted(sweet-roasted-butter) ~fun(sweet-roasted-chickpea) ~mischievous(sweet-roasted-pinto) ~silly(sweet-fermented-butter) ~sunny(sweet-fried-butter) ~whimsical(sweet-fermented-green)
sweet-boiled-kidney	compassionate	pitying	hard-hearted	care	considerate(sweet-roasted-edamame) ~cosseting(sweet-roasted-mung) ~empathetic(sweet-fermented-chickpea) ~gentle(sweet-fermented-mung) ~nurturing(sweet-boiled-mung) ~replenishing(umami-boiled-mung) ~restorative(umami-dried-mung) ~solicitous(sour-roasted-mung) ~sympathetic(sweet-fermented-kidney) ~tender(sweet-dried-mung)
sweet-boiled-mung	nurturing	overprotective	depriving	care	considerate(sweet-roasted-edamame) ~compassionate(sweet-boiled-kidney) ~cosseting(sweet-roasted-mung) ~empathetic(sweet-fermented-chickpea) ~gentle(sweet-fermented-mung) ~replenishing(umami-boiled-mung) ~restorative(umami-dried-mung) ~solicitous(sour-roasted-mung) ~sympathetic(sweet-fermented-kidney) ~tender(sweet-dried-mung)
sweet-boiled-navy	provident	hoarding	improvident	duty	dutiful(sweet-dried-navy) ~conscientious(umami-boiled-cannellini) ~custodial(umami-boiled-navy) ~dependable(sweet-boiled-edamame) ~disciplined(umami-boiled-kidney) ~principled(umami-fried-cannellini) ~scrupulous(sour-fermented-navy) ~trustworthy(sour-boiled-kidney) ~upright(bitter-boiled-navy)
sweet-boiled-pinto	daydreamy	absent	grounded	reverie	dreamlike(sweet-smoked-pinto) ~fanciful(sweet-fermented-pinto) ~musing(umami-boiled-pinto) ~poetic(umami-fermented-mung) ~whimsical(sweet-fermented-green)
sweet-dried-adzuki	devoted	idolatrous	uncommitted	love	cherishing(sweet-roasted-kidney) sentimental(sweet-fermented-adzuki) ~adoring(sweet-dried-kidney) ~ardent(sweet-fried-black) ~doting(sweet-fried-kidney) ~enamoured(sweet-smoked-kidney) ~passionate(umami-fried-adzuki) ~romantic(sweet-fried-navy)
sweet-dried-black	abiding	immutable	fleeting	lasting	enduring(umami-dried-navy) ~constant(sweet-boiled-black) ~faithful(umami-dried-kidney) ~lingering(sweet-smoked-navy) ~rooted(umami-fermented-kidney) ~timeless(umami-smoked-navy)
sweet-dried-butter	serene	somnolent	turbulent	calm	composed(sour-fried-butter) placid(bitter-boiled-butter) quiet(sour-smoked-butter) restful(umami-boiled-butter) ~languid(umami-smoked-butter) ~mellow(umami-dried-butter) ~patient(umami-boiled-black) ~settled(umami-fried-butter) ~still(bitter-smoked-butter) ~tranquil(bitter-dried-butter)
sweet-dried-cannellini	exquisite	ornamental	rough-and-ready	fine	~delicate(sweet-smoked-cannellini) ~distinguished(umami-dried-cannellini) ~polished(bitter-roasted-adzuki) ~refined(bitter-roasted-cannellini) ~stylish(bitter-roasted-pinto)
sweet-dried-chickpea	wholesome	sanitised	unsavoury	humility	familiar(sweet-dried-green) guileless(sour-roasted-butter) self-deprecating(sour-fried-mung) ~bashful(sweet-smoked-mung) ~homespun(sweet-fermented-navy) ~humble(umami-smoked-chickpea)
sweet-dried-edamame	straightforward	simplistic	convoluted	plain-speech	~blunt(sour-fried-edamame) ~candid(sour-boiled-pinto) ~emphatic(spicy-fried-edamame) ~forthright(sour-roasted-edamame) ~frank(sour-roasted-cannellini) ~honest(sour-boiled-butter) ~incisive(bitter-fried-navy) ~literal-minded(sour-boiled-navy) ~outspoken(sour-boiled-green) ~pointed(sour-dried-edamame)
sweet-dried-fava	indomitable	unrelenting	defeated	endurance	gritty(spicy-boiled-black) stoic(spicy-boiled-butter) tough(spicy-dried-navy) ~dogged(spicy-boiled-kidney) ~forbearing(bitter-boiled-kidney) ~hardy(bitter-dried-kidney) ~relentless(spicy-fried-black) ~steely(bitter-dried-fava) ~tested(sour-fermented-kidney) ~tireless(spicy-boiled-mung)
sweet-dried-green	familiar	overfamiliar	strange	humility	guileless(sour-roasted-butter) self-deprecating(sour-fried-mung) ~bashful(sweet-smoked-mung) ~homespun(sweet-fermented-navy) ~humble(umami-smoked-chickpea) ~wholesome(sweet-dried-chickpea)
